1000 100000
907 44 21
908 730 88
909 331 32
910 879 51
911 853 54
912 592 96
913 553 8
914 81 36
915 555 61
916 357 76
917 347 22
918 128 58
919 779 58
920 238 84
921 186 52
922 830 86
923 6 66
924 807 87
925 833 43
926 11 48
927 311 3
928 136 75
929 525 65
930 260 45
931 399 17
932 768 46
933 629 7
934 567 70
935 166 4
936 3 49
937 660 100
938 858 2
939 63 35
940 303 19
941 418 96
942 137 64
943 483 26
944 900 86
945 559 21
946 177 30
947 559 97
948 931 94
949 399 10
950 781 47
951 193 96
952 32 8
953 383 83
954 891 66
955 948 81
956 261 25
957 523 75
958 5 22
959 955 77
960 697 97
961 453 70
962 795 24
963 606 75
964 924 76
965 433 91
966 478 56
967 619 19
968 88 28
969 147 51
970 44 67
971 719 93
972 182 69
973 906 43
974 711 58
975 342 35
976 227 31
977 233 50
978 417 30
979 516 18
980 808 31
981 401 86
982 256 98
983 195 86
984 642 27
985 105 34
986 720 61
987 450 21
988 644 6
989 638 82
990 428 45
991 899 84
992 463 73
993 626 51
994 897 65
995 725 98
996 763 96
997 705 18
998 605 52
999 521 79
1000 993 81
672 546 80
783 950 87
141 748 44
487 39 99
179 168 93
194 817 8
127 613 21
279 260 95
836 593 69
836 384 44
251 527 100
982 879 42
212 469 99
733 154 70
600 139 41
903 410 91
381 377 43
237 463 29
504 475 51
895 852 42
211 427 51
86 594 50
116 121 11
86 875 59
87 462 51
97 726 51
782 857 23
270 811 81
981 908 100
358 506 35
518 406 25
986 524 49
673 30 87
990 123 62
848 362 100
671 125 31
401 151 77
802 703 23
398 797 91
427 322 35
200 191 10
456 34 87
704 217 47
678 827 55
916 431 3
240 887 43
492 311 62
363 984 43
311 945 99
742 1 84
746 258 97
821 637 21
210 691 98
13 34 31
787 98 46
629 370 31
416 830 55
714 947 42
122 996 22
459 903 12
417 322 98
175 108 14
994 441 21
619 533 9
172 901 92
930 901 77
305 60 10
723 966 13
522 173 96
894 37 30
372 168 45
210 97 87
664 265 86
255 139 15
533 730 86
35 248 27
941 823 58
900 779 86
554 82 28
163 812 15
372 929 52
736 98 8
727 568 86
711 731 73
803 650 82
178 788 62
470 333 61
170 744 1
549 992 58
727 405 9
733 456 99
669 467 10
188 899 29
820 510 60
224 731 59
216 393 74
74 613 87
24 595 15
968 805 69
457 862 82
369 634 87
761 810 2
747 81 67
587 242 49
96 931 74
31 253 63
173 622 95
761 769 40
777 773 31
294 42 1
631 921 99
883 831 91
312 687 6
704 554 37
166 617 56
712 731 10
134 532 26
139 289 54
903 121 12
525 498 38
654 182 36
911 581 91
944 988 70
661 31 5
374 973 94
235 617 72
193 204 57
121 881 91
978 479 82
408 675 66
629 420 15
139 133 19
437 319 6
77 436 95
27 671 19
238 149 90
569 547 100
13 112 54
297 296 7
896 848 35
912 857 6
471 950 14
483 747 92
419 858 99
178 274 69
622 553 69
815 260 10
984 807 70
25 675 26
752 704 42
284 207 69
78 147 41
707 887 97
794 306 98
931 945 20
986 517 78
408 825 68
732 69 72
742 773 26
855 85 73
220 529 22
129 199 68
927 561 54
287 259 56
110 421 21
650 606 26
340 291 88
91 753 46
353 34 17
188 645 54
281 822 57
736 867 99
722 755 51
775 511 42
869 697 6
611 485 72
595 234 16
913 96 74
433 186 60
943 517 41
886 357 54
242 705 56
974 87 62
693 50 79
349 691 4
281 764 81
110 278 72
219 772 92
609 839 9
992 472 71
477 798 23
40 869 31
873 589 7
756 647 59
584 949 97
679 183 36
357 771 40
120 973 33
277 44 39
642 768 12
994 569 37
986 362 2
653 264 89
370 907 5
704 788 41
381 468 93
175 123 97
404 152 34
618 903 13
985 302 30
398 450 82
726 421 28
549 732 62
433 700 79
29 400 70
338 574 48
259 594 54
332 795 36
280 236 50
194 571 59
650 272 79
686 244 73
862 854 66
477 944 78
512 505 69
768 313 57
558 208 25
650 778 24
569 840 91
958 931 13
591 947 34
563 288 89
76 815 71
287 362 10
948 591 43
908 207 73
473 218 1
66 605 100
247 56 5
452 74 48
575 409 54
927 715 56
92 637 93
563 937 51
660 591 77
676 602 87
896 307 26
621 936 47
854 229 71
50 824 59
251 970 83
302 387 41
553 90 59
928 464 38
595 734 86
607 800 21
217 919 35
398 151 49
194 953 21
792 308 96
722 278 37
468 143 87
962 999 12
934 114 40
77 531 57
724 930 98
479 299 68
951 937 70
997 183 96
438 370 17
94 280 91
980 476 6
762 601 64
811 160 44
212 235 76
943 479 77
525 669 41
460 522 76
489 415 16
558 896 4
285 178 39
524 930 26
141 393 2
655 620 47
1000 367 69
355 253 50
530 909 71
740 235 5
269 190 59
789 464 99
540 705 37
953 269 79
377 604 95
787 241 98
302 649 5
475 430 94
55 431 25
609 404 62
175 787 79
196 959 81
365 457 71
704 252 90
419 28 34
157 734 66
748 421 95
156 420 30
534 27 19
843 553 91
31 40 72
104 381 6
414 13 46
573 990 84
672 586 70
289 10 85
615 784 75
925 61 36
254 349 13
442 465 49
452 604 62
902 826 70
987 5 23
70 909 11
564 279 30
773 781 13
517 514 21
651 362 13
611 561 94
779 196 46
265 786 36
701 775 3
737 752 96
289 834 73
784 226 49
368 473 90
88 212 2
557 464 85
68 534 58
699 559 86
841 629 15
565 197 24
955 719 66
993 762 21
904 372 44
731 602 47
175 853 40
866 383 57
185 792 6
40 504 50
468 158 99
26 927 3
305 491 18
219 765 23
891 310 4
353 29 29
169 628 59
684 195 91
478 808 51
859 608 94
888 382 82
148 683 57
468 660 78
744 155 95
416 953 8
672 746 62
582 81 65
71 764 76
659 495 48
630 826 86
994 629 31
391 297 60
767 258 23
135 308 29
424 362 65
343 825 94
423 749 85
502 891 20
923 636 16
991 417 4
603 593 36
488 595 45
145 89 86
14 268 100
265 689 19
693 251 69
541 72 6
429 720 5
181 1000 52
606 257 85
948 229 32
812 358 88
294 905 26
223 172 55
159 605 35
700 473 87
539 287 74
46 208 85
930 517 18
102 622 22
511 999 96
559 839 52
512 401 11
708 718 30
75 367 77
902 454 97
124 505 62
651 594 80
37 767 62
528 779 17
295 543 4
163 236 98
776 477 15
694 909 9
343 140 18
853 132 35
998 802 30
279 930 47
464 307 34
531 894 74
609 483 5
186 736 28
290 509 89
2 149 77
264 821 27
295 570 29
451 207 48
971 441 45
190 24 36
871 229 80
437 705 37
407 391 57
583 159 89
688 346 40
602 576 24
826 951 25
204 639 94
54 413 96
238 359 38
745 203 48
152 743 67
863 111 34
237 458 57
711 461 16
907 775 4
117 273 96
582 740 12
900 169 48
142 596 60
290 857 87
40 978 40
639 685 30
967 587 8
863 537 62
427 15 47
902 5 91
462 164 20
902 205 36
697 657 48
76 843 88
321 994 95
201 565 45
54 308 56
259 543 71
13 248 70
130 299 22
325 518 17
250 962 53
581 46 5
149 790 3
284 155 16
321 264 89
567 892 66
347 24 17
762 817 35
98 734 54
11 174 30
553 564 33
927 983 22
34 569 60
287 298 42
473 323 96
188 115 93
305 242 81
361 374 61
903 632 28
260 225 87
575 270 54
500 350 67
535 769 50
842 123 66
208 937 40
334 788 18
13 256 100
61 757 16
146 117 92
95 345 47
469 683 81
600 504 88
492 95 29
310 476 55
100 424 2
350 970 68
409 650 20
641 480 67
639 357 88
117 452 58
750 823 21
243 955 57
355 302 44
850 637 57
176 685 25
361 76 24
61 63 38
293 605 69
442 796 39
335 165 58
381 404 94
565 352 59
144 882 32
347 237 51
982 892 77
345 763 56
437 736 66
35 463 73
49 853 92
116 83 29
320 402 4
120 753 60
45 32 91
169 5 27
304 608 16
731 580 86
300 951 67
67 233 73
318 482 85
225 454 54
480 106 63
265 272 56
256 188 72
322 55 61
62 765 92
500 562 5
109 666 62
421 317 2
203 89 97
904 893 79
866 998 81
67 492 84
461 112 59
744 50 46
284 439 86
625 90 47
141 469 45
406 905 92
734 421 95
442 233 32
155 227 96
241 31 70
989 243 72
404 501 25
202 814 98
839 126 59
442 380 20
153 568 53
845 839 88
677 509 64
430 513 85
426 396 18
953 276 37
117 704 64
748 506 32
7 48 88
356 800 75
672 411 48
930 748 27
986 597 98
621 582 60
188 387 46
737 938 11
342 187 7
950 276 10
936 325 70
695 39 82
26 6 34
503 574 51
182 26 38
906 451 20
626 199 53
596 344 44
849 554 22
296 636 61
400 424 67
8 777 31
167 200 34
572 751 62
391 591 44
707 749 75
345 205 87
394 63 8
161 765 6
337 906 24
185 289 16
310 30 17
642 856 5
604 5 91
451 903 51
41 410 68
556 616 95
21 925 59
895 679 11
396 842 60
516 799 93
374 121 43
526 137 35
970 177 16
965 940 33
947 142 66
411 799 79
832 458 55
197 648 52
130 36 89
524 404 38
552 221 57
557 217 66
863 834 40
762 52 92
46 705 64
684 734 40
452 319 45
966 443 25
513 27 71
415 348 1
592 923 20
756 737 49
878 366 67
442 944 33
454 477 59
316 101 62
81 612 41
994 357 86
729 566 16
103 713 51
332 820 60
822 208 76
574 774 27
688 302 31
588 685 64
996 577 22
282 558 46
164 976 2
665 866 70
440 684 21
525 894 50
178 957 21
422 46 25
155 616 26
95 40 21
103 513 72
489 250 44
489 439 27
425 325 81
691 269 36
212 245 5
307 502 7
373 167 74
760 841 31
53 988 54
71 590 98
866 911 35
773 302 72
274 722 54
229 772 21
538 704 5
230 512 38
536 546 79
708 414 98
166 892 29
87 99 59
685 803 10
268 343 35
12 885 32
225 621 25
524 355 2
398 299 89
935 183 56
444 356 92
456 567 41
841 325 11
959 204 24
77 265 79
492 419 15
478 33 3
50 840 7
234 196 32
802 125 53
486 485 56
498 231 21
764 169 29
473 319 9
643 269 1
343 300 47
885 658 94
964 516 19
556 550 74
168 524 89
331 878 75
200 411 76
70 770 9
78 962 57
179 738 70
214 947 53
463 165 98
33 476 19
714 342 96
265 862 11
789 142 94
750 694 97
512 371 19
24 345 60
23 785 37
640 118 55
446 530 20
616 34 49
770 660 34
758 304 47
562 128 6
643 19 66
199 360 36
245 387 18
744 368 12
981 807 94
251 498 51
471 4 92
436 553 51
616 411 32
104 418 75
267 889 81
942 457 67
789 135 4
18 282 95
317 609 88
445 353 66
245 405 2
397 707 29
473 827 91
695 58 68
248 649 56
317 676 82
444 820 75
832 464 17
454 650 48
782 707 84
483 253 6
913 310 96
459 640 81
238 120 66
831 220 62
131 432 66
55 455 45
63 160 59
287 658 72
316 400 75
454 227 27
210 223 30
376 982 1
538 298 88
813 461 96
64 304 82
410 880 48
398 138 17
270 157 47
347 545 90
669 753 1
387 9 27
276 641 10
949 369 66
315 417 80
104 3 89
338 933 55
135 253 39
567 320 22
106 28 86
352 859 83
958 772 84
294 298 51
285 451 43
591 109 77
129 334 14
91 693 15
725 102 3
639 297 30
222 651 25
992 749 43
272 231 19
742 77 93
277 435 28
963 491 43
791 599 60
27 132 28
765 873 6
871 793 78
981 425 94
811 479 49
367 268 29
228 145 44
767 930 22
851 223 42
600 56 43
313 710 43
821 415 70
134 27 54
843 578 59
679 483 76
600 382 44
984 525 86
294 394 29
273 388 24
316 809 64
316 338 59
748 342 70
907 658 75
384 896 90
418 354 9
723 107 31
656 811 47
508 910 40
428 644 35
895 86 75
984 154 25
587 158 40
547 294 24
295 828 14
544 139 12
146 598 97
852 356 14
302 53 24
403 673 70
136 339 63
401 895 9
894 408 79
73 83 55
294 151 28
972 193 30
792 10 8
422 733 11
832 8 16
966 302 57
831 496 100
854 644 40
93 858 56
208 941 80
310 766 66
959 884 13
404 663 83
1 304 50
911 304 91
270 749 53
633 333 1
601 240 27
22 409 77
734 660 55
574 536 15
548 693 56
645 305 4
326 878 8
685 248 27
570 836 77
129 851 95
146 986 34
69 782 81
14 578 98
742 799 54
668 896 9
451 75 38
157 793 19
247 493 96
979 557 71
348 616 53
568 792 44
672 499 3
91 401 4
184 308 54
277 864 56
480 120 6
6 971 33
874 483 84
418 4 28
961 217 46
220 147 80
821 867 94
316 969 67
298 290 76
287 64 45
193 989 59
862 247 76
104 480 59
505 955 17
334 513 15
876 223 100
736 735 98
720 868 28
632 337 53
594 526 76
120 111 4
98 492 51
557 898 45
800 137 17
455 92 70
845 276 34
715 544 80
880 234 66
826 797 67
505 676 70
725 489 22
339 538 63
905 35 38
818 118 47
136 364 48
983 415 32
650 630 29
352 804 37
193 266 16
437 655 20
812 508 94
793 951 76
138 4 89
906 518 43
327 498 87
296 226 100
469 839 26
187 613 37
762 128 69
581 984 41
274 702 41
320 69 59
789 290 96
283 818 41
428 445 35
352 649 90
85 597 9
886 525 22
44 878 39
929 829 53
81 777 68
617 565 99
758 176 86
768 218 32
214 241 89
36 327 73
377 432 7
62 585 91
194 675 4
882 46 20
859 724 51
106 636 52
722 717 8
235 130 27
307 679 73
334 267 38
920 381 66
815 106 87
824 654 91
309 296 42
948 213 1
124 237 62
921 713 61
554 765 96
61 101 16
561 83 73
292 141 45
411 740 91
239 51 9
378 394 46
403 656 65
743 584 31
687 280 26
438 654 91
156 542 26
173 963 45
630 436 86
647 608 7
488 387 58
630 975 57
155 893 13
265 10 70
446 514 31
581 57 72
460 299 52
806 682 32
465 373 16
933 243 21
782 62 64
97 902 61
536 165 99
459 105 9
315 683 81
857 63 92
53 427 68
278 447 44
292 316 38
887 73 36
449 439 57
75 89 19
303 407 59
835 193 6
133 200 71
133 59 36
523 321 14
187 353 56
412 228 93
404 667 68
186 339 66
668 625 94
816 522 50
460 324 83
847 869 8
318 895 32
970 574 92
320 44 35
384 626 35
818 328 56
62 996 98
304 640 30
285 876 27
174 455 8
959 112 38
665 478 14
226 321 85
252 390 86
943 229 16
403 420 62
50 877 5
359 915 18
202 395 14
856 808 19
453 336 76
48 124 85
291 541 93
435 824 70
244 362 79
495 198 68
287 459 51
382 307 45
890 966 28
788 356 50
474 165 41
351 503 97
965 933 56
159 683 2
686 712 90
533 548 94
606 28 4
662 862 31
147 677 9
55 209 57
669 751 40
159 934 26
116 624 33
693 383 92
9 182 25
518 938 98
151 390 99
387 355 11
623 960 67
121 144 25
991 265 48
426 688 86
809 128 7
545 571 26
917 672 39
528 508 12
601 333 82
186 598 73
141 266 51
490 610 39
927 877 97
966 263 59
629 530 98
417 984 95
695 803 98
30 232 87
915 705 74
890 738 88
182 215 8
770 98 13
984 431 44
105 767 62
359 311 43
283 988 17
936 564 98
240 235 3
937 868 47
62 683 38
380 534 20
764 989 25
860 135 29
739 474 99
90 346 87
616 506 37
595 613 69
894 780 70
266 632 61
374 114 3
836 552 2
437 367 36
165 113 71
274 985 34
119 711 36
130 604 29
594 419 25
616 537 46
244 128 65
290 269 37
881 64 10
920 462 77
576 140 62
775 110 25
588 627 39
152 194 10
409 107 51
898 135 66
410 68 39
234 434 24
616 985 24
869 393 79
86 637 87
615 426 35
327 897 10
367 952 98
832 669 11
724 717 75
980 400 74
96 952 85
579 349 47
707 472 61
444 36 64
7 963 93
383 504 46
204 519 2
163 117 35
713 121 31
432 519 1
381 295 49
844 20 99
884 466 50
799 805 64
383 319 41
124 835 43
348 65 48
119 752 7
506 737 64
828 388 100
709 1 1
59 705 18
459 830 50
832 526 98
817 92 88
406 332 52
564 297 49
689 669 75
508 569 24
388 699 28
204 530 88
234 944 65
422 615 67
471 639 97
576 478 69
481 496 11
312 480 96
885 912 33
217 821 64
164 823 18
882 120 30
120 103 16
295 461 81
287 750 24
179 134 99
558 681 83
967 357 13
571 643 30
361 314 27
722 414 30
720 477 28
417 562 76
307 920 94
843 850 89
699 484 34
311 723 45
365 597 31
692 602 39
546 370 40
331 572 43
859 191 90
60 475 66
441 64 20
574 479 91
648 553 7
615 903 47
341 861 48
491 574 36
121 960 41
660 312 14
641 179 99
400 869 78
77 928 54
386 866 97
648 833 17
85 288 81
359 459 36
341 715 78
983 537 44
299 686 68
727 307 31
293 341 1
193 93 43
998 197 40
404 334 64
481 847 62
593 911 42
583 888 37
166 210 98
280 16 12
811 247 19
659 422 79
627 857 87
680 237 49
747 192 100
552 779 59
519 807 90
595 428 46
905 717 57
578 532 43
321 778 99
463 881 94
732 96 35
25 607 67
170 361 91
173 552 44
878 43 33
310 224 30
497 800 92
165 363 15
512 875 74
101 930 33
21 443 63
871 846 20
335 794 16
653 93 11
297 626 72
525 241 7
782 604 32
422 644 45
846 796 75
952 565 43
149 589 34
643 658 62
980 479 53
217 193 54
898 234 43
201 702 46
282 439 33
978 854 12
254 205 88
334 635 23
152 253 91
180 370 5
442 292 89
598 164 8
842 795 25
338 329 1
898 324 13
290 151 38
783 157 76
877 122 85
722 994 28
410 120 100
395 218 17
432 828 36
691 127 89
442 483 5
516 194 33
383 547 98
510 15 42
393 373 36
476 208 11
825 444 65
663 934 38
954 525 2
145 734 67
592 947 25
725 117 87
646 259 53
75 706 44
942 570 46
85 437 11
307 113 42
579 145 95
427 468 18
936 863 18
213 622 40
630 899 24
718 685 36
204 978 77
821 598 32
938 409 62
455 700 49
575 317 64
544 810 69
848 675 71
883 603 62
425 357 65
363 868 96
667 182 18
593 598 1
787 952 30
381 558 100
160 773 35
724 403 7
562 474 59
140 412 98
583 623 61
417 457 29
881 311 88
324 39 57
57 849 63
107 525 22
951 841 50
364 668 72
891 605 29
276 825 2
412 748 95
810 860 13
